chart_date,current_position,title,artist_name,last_week_position,weeks_on_chart,awards_vector
1990-01-27,15,That Just About Does It,Vern Gosdin,9,2,
1990-01-27,16,Out Of Your Shoes,Lorrie Morgan,11,2,
1990-01-27,17,I Can't Turn The Tide,Baillie and the Boys,25,2,Gains In Performance
1990-01-27,18,In My Eyes,Lionel Cartwright,24,2,Gains In Performance
1990-01-27,19,A Woman In Love,Ronnie Milsap,17,2,
1990-01-27,20,There You Are,Willie Nelson,19,2,
1990-01-27,21,Two Dozen Roses,Shenandoah,21,2,
1990-01-27,22,Leave It Alone,The Forester Sisters,28,2,Gains In Performance
1990-01-27,23,Till I Can't Take It Anymore,Billy Joe Royal,14,2,
1990-01-27,24,Little Girl,Reba McEntire,31,2,Gains In Performance
1990-01-27,25,If Tomorrow Never Comes,Garth Brooks,22,2,
1990-01-27,26,I've Been Loved By The Best,Don Williams,23,2,
1990-01-27,27,Keep It In The Middle Of The Road,Exile,35,2,Gains In Performance
1990-01-27,28,Heartbreak Hurricane,Ricky Skaggs,36,2,Gains In Performance
1990-01-27,29,Who's Lonely Now,Highway 101,18,2,
1990-01-27,30,Fast Movin' Train,Restless Heart,32,2,Gains In Performance
1990-01-27,31,When It's Gone,Nitty Gritty Dirt Band,26,2,
1990-01-27,32,Chains,Patty Loveless,41,2,
1990-01-27,33,If You Want To Be My Woman,Merle Haggard,37,2,Gains In Performance
1990-01-27,34,All The Fun,Paul Overstreet,30,2,
1990-01-27,35,There Goes My Heart Again,Holly Dunn,29,2,
1990-01-27,36,"She's Gone, Gone, Gone",Glen Campbell,27,2,
1990-01-27,37,Time's Up,Southern Pacific & Carlene Carter,48,2,Gains In Performance
1990-01-27,38,Sooner Or Later,Eddy Raven,46,2,Gains In Performance
1990-01-27,39,Country Club,Travis Tritt,39,2,
1990-01-27,40,Yellow Roses,Dolly Parton,34,2,
1990-01-27,41,Seein' My Father In Me,Paul Overstreet,51,2,Gains In Performance
1990-01-27,42,It's Just A Matter Of Time,Randy Travis,33,2,
1990-01-27,43,If Your Heart Should Ever Roll This Way Again,Jo-El Sonnier,49,2,Gains In Performance
1990-01-27,44,Not Counting You,Garth Brooks,57,2,Gains In Performance
1990-01-27,45,Tell Me Why,Jann Browne,47,2,Gains In Performance
1990-01-27,46,High Cotton,Alabama,38,2,
1990-01-27,47,Simple Man,The Charlie Daniels Band,40,2,
1990-01-27,48,The Vows Go Unbroken (Always True To You),Kenny Rogers,42,2,
1990-01-27,49,The Lonely Side Of Love,Patty Loveless,45,2,
1990-01-27,50,Amy's Eyes,Charley Pride,52,2,Gains In Performance
1990-01-27,51,Bayou Boys,Eddy Raven,43,2,
1990-01-27,52,The Race Is On,Sawyer Brown,44,2,
1990-01-27,53,Quit While I'm Behind,Jennifer McCarter & The McCarters,50,2,
1990-01-27,54,Ace In The Hole,George Strait,53,2,
1990-01-27,55,Til Love Comes Again,Reba McEntire,54,2,
1990-01-27,56,Hard Rock Bottom Of Your Heart,Randy Travis,NEW,1,Highest ranking debut|Gains In Performance
1990-01-27,57,Who's Gonna Know,Conway Twitty,62,2,Gains In Performance
1990-01-27,58,Never Had It So Good,Mary Chapin Carpenter,55,2,
1990-01-27,59,Burnin' Old Memories,Kathy Mattea,56,2,
1990-01-27,60,Quittin' Time,Mary Chapin Carpenter,68,2,Gains In Performance
1990-02-03,1,Nobody's Home,Clint Black,1,3,
1990-02-03,2,Statue Of A Fool,Ricky Van Shelton,3,3,Gains In Performance
1990-02-03,3,My Arms Stay Open All Night,Tanya Tucker,2,3,
1990-02-03,4,Southern Star,Alabama,4,3,Gains In Performance
1990-02-03,5,When I Could Come Home To You,Steve Wariner,5,3,
1990-02-03,6,On Second Thought,Eddie Rabbitt,9,3,Gains In Performance
1990-02-03,7,Start All Over Again,The Desert Rose Band,7,3,Gains In Performance
1990-02-03,8,One Man Woman,The Judds,8,3,Gains In Performance
1990-02-03,9,No Matter How High,The Oak Ridge Boys,12,3,Gains In Performance
1990-02-03,10,Where've You Been,Kathy Mattea,11,3,Gains In Performance
1990-02-03,11,Overnight Success,George Strait,14,3,Gains In Performance
1990-02-03,12,I Can't Turn The Tide,Baillie and the Boys,17,3,Gains In Performance
1990-02-03,13,In My Eyes,Lionel Cartwright,18,3,Gains In Performance
1990-02-03,14,It's You Again,Skip Ewing,6,3,
1990-02-03,15,Little Girl,Reba McEntire,24,3,Gains In Performance
1990-02-03,16,Many A Long & Lonesome Highway,Rodney Crowell,10,3,
1990-02-03,17,A Woman In Love,Ronnie Milsap,19,3,
1990-02-03,18,Out Of Your Shoes,Lorrie Morgan,16,3,
1990-02-03,19,Leave It Alone,The Forester Sisters,22,3,Gains In Performance
1990-02-03,20,Chains,Patty Loveless,32,3,Gains In Performance
1990-02-03,21,Keep It In The Middle Of The Road,Exile,27,3,Gains In Performance
1990-02-03,22,Heartbreak Hurricane,Ricky Skaggs,28,3,Gains In Performance
1990-02-03,23,That Just About Does It,Vern Gosdin,15,3,
1990-02-03,24,Two Dozen Roses,Shenandoah,21,3,
1990-02-03,25,It Ain't Nothin',Keith Whitley,13,3,
1990-02-03,26,Fast Movin' Train,Restless Heart,30,3,Gains In Performance
1990-02-03,27,If You Want To Be My Woman,Merle Haggard,33,3,Gains In Performance
1990-02-03,28,If Tomorrow Never Comes,Garth Brooks,25,3,
1990-02-03,29,I've Been Loved By The Best,Don Williams,26,3,
1990-02-03,30,Sooner Or Later,Eddy Raven,38,3,Gains In Performance
1990-02-03,31,There You Are,Willie Nelson,20,3,
1990-02-03,32,Not Counting You,Garth Brooks,44,3,
1990-02-03,33,Till I Can't Take It Anymore,Billy Joe Royal,23,3,
1990-02-03,34,Time's Up,Southern Pacific & Carlene Carter,37,3,Gains In Performance
1990-02-03,35,Seein' My Father In Me,Paul Overstreet,41,3,Gains In Performance
1990-02-03,36,If Your Heart Should Ever Roll This Way Again,Jo-El Sonnier,43,3,Gains In Performance
1990-02-03,37,All The Fun,Paul Overstreet,34,3,
1990-02-03,38,There Goes My Heart Again,Holly Dunn,35,3,
1990-02-03,39,Who's Lonely Now,Highway 101,29,3,
1990-02-03,40,Tell Me Why,Jann Browne,45,3,Gains In Performance
1990-02-03,41,Yellow Roses,Dolly Parton,40,3,
1990-02-03,42,Country Club,Travis Tritt,39,3,
1990-02-03,43,High Cotton,Alabama,46,3,
1990-02-03,44,Hard Rock Bottom Of Your Heart,Randy Travis,56,2,Gains In Performance
1990-02-03,45,It's Just A Matter Of Time,Randy Travis,42,3,
1990-02-03,46,Quittin' Time,Mary Chapin Carpenter,60,3,Gains In Performance
1990-02-03,47,The Vows Go Unbroken (Always True To You),Kenny Rogers,48,3,
1990-02-03,48,"She's Gone, Gone, Gone",Glen Campbell,36,3,
1990-02-03,49,When It's Gone,Nitty Gritty Dirt Band,31,3,
1990-02-03,50,The Lonely Side Of Love,Patty Loveless,49,3,
1990-02-03,51,Here In The Real World,Alan Jackson,62,3,Gains In Performance
1990-02-03,52,Bayou Boys,Eddy Raven,51,3,
1990-02-03,53,Amy's Eyes,Charley Pride,50,3,
